num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2991	3841.703669	69.114331	-14.694064	1.528251	59.200327
2993	3843.771969	69.115135	-14.719045	1.526892	59.865016
2995	3845.839961	68.914832	-14.676086	1.525027	59.133165
2997	3847.908292	68.792194	-14.698324	1.524151	58.409180
3001	3852.045788	68.630792	-14.679927	1.520621	60.295282
3003	3854.114736	68.570239	-14.682766	1.518839	59.067337
3005	3856.182991	68.499507	-14.692741	1.516895	57.487110
3007	3858.250762	68.475820	-14.714827	1.515727	57.819727
3009	3860.318192	68.501185	-14.774558	1.512732	59.209213
3011	3862.385852	68.238844	-14.736682	1.510951	57.091266
3015	3866.519743	68.036909	-14.811138	1.507642	56.029874
3017	3868.587222	67.976311	-14.814486	1.503549	56.706263
3019	3870.654644	67.867460	-14.791637	1.502554	55.581152
3021	3872.722183	67.852808	-14.834832	1.500715	54.619703
3023	3874.789956	67.581237	-14.816025	1.499709	58.331562
3025	3876.858541	67.545896	-14.814970	1.497855	53.858666
3027	3878.926313	67.431875	-14.822978	1.495937	55.050369
3029	3880.994565	67.271751	-14.842751	1.492751	54.436291
3033	3885.132252	67.162063	-14.877829	1.488963	52.568455
3035	3887.200708	67.049441	-14.868966	1.486648	55.303860
3037	3889.268327	66.889357	-14.876405	1.483070	56.211019
3039	3891.336184	66.791799	-14.851298	1.480963	55.047208
3041	3893.403504	66.611608	-14.828870	1.479306	55.334395
3045	3897.537388	66.472353	-14.903014	1.476108	54.853814
3047	3899.604530	66.572549	-14.934149	1.475633	55.126635
3049	3901.671945	66.401873	-14.909990	1.474828	54.937055
3051	3903.739358	66.353579	-14.939861	1.472238	51.809402
3053	3905.806751	66.183591	-14.949124	1.469644	55.709608
3055	3907.874440	66.106210	-14.964010	1.468135	54.658444
3057	3909.942936	65.895529	-14.901717	1.465019	53.915470
3059	3912.010720	65.814002	-14.907195	1.463042	52.137790
3063	3916.147053	65.544269	-14.955821	1.460399	53.465891
3065	3918.216250	65.537249	-14.957027	1.459822	53.359473
3067	3920.284545	65.519225	-14.962132	1.458100	52.741126
3069	3922.353030	65.455763	-14.960068	1.456581	53.182939
3071	3924.421063	65.203162	-14.923297	1.453670	51.983042
3073	3926.488944	65.432034	-15.021728	1.451760	51.827044
3077	3930.623765	65.147374	-15.052813	1.447435	52.076253
3079	3932.691442	65.034371	-15.011185	1.447393	50.884906
3081	3934.758312	65.026209	-15.023322	1.444375	49.061177
3083	3936.825730	64.776601	-15.027284	1.442712	50.702885
3085	3938.893741	64.527855	-14.985413	1.440815	49.468618
3087	3940.960891	64.533245	-15.052476	1.439114	49.766572
3091	3945.096738	64.388880	-15.098161	1.436363	49.599252
3093	3947.165535	64.312988	-15.098449	1.432590	49.268892
3095	3949.234107	64.181387	-15.093362	1.431637	47.110807
3097	3951.301840	64.151460	-15.112573	1.429156	48.182068
3099	3953.370237	64.017258	-15.127030	1.425810	48.025277
3101	3955.438773	63.865611	-15.105770	1.422206	49.015696
3105	3959.573942	63.648335	-15.153894	1.419750	50.214232
3107	3961.640640	63.618339	-15.139063	1.418756	50.135837
3109	3963.708111	63.573844	-15.159839	1.417521	48.344371
3111	3965.774847	63.298499	-15.159848	1.415825	49.216575
3113	3967.842276	63.373424	-15.181160	1.413942	48.542723
3115	3969.909550	63.235197	-15.178320	1.412569	50.267129
3119	3974.045014	62.838190	-15.178645	1.407087	48.158034
3121	3976.112549	62.976320	-15.209871	1.406870	47.497174
3123	3978.180796	62.865531	-15.218635	1.404653	49.161764
3125	3980.249200	62.671728	-15.208253	1.401783	47.636984
3127	3982.317413	62.854963	-15.242008	1.400492	46.958026
3129	3984.385697	62.615869	-15.221601	1.399755	47.567314
3133	3988.522858	62.339600	-15.264903	1.396138	46.453584
3135	3990.590802	62.427167	-15.264299	1.393692	45.896423
3137	3992.658585	62.198728	-15.219011	1.392898	47.249413
3139	3994.726321	62.108630	-15.270116	1.389300	46.304019
3141	3996.793738	62.066533	-15.267208	1.388597	45.439045
3143	3998.860911	61.919123	-15.231910	1.387119	43.808564
3145	4000.928356	61.918673	-15.300145	1.385774	45.902992
3149	4005.063387	61.546906	-15.305242	1.380153	45.067425
3151	4007.131041	61.377380	-15.317032	1.378885	45.025880
3153	4009.199315	61.570920	-15.332867	1.377974	45.245714
3155	4011.267603	61.220445	-15.317347	1.375299	44.035256
3157	4013.335490	61.141089	-15.311650	1.373779	44.372551
3159	4015.404191	61.013031	-15.329832	1.371289	44.596856
3163	4019.540031	61.087919	-15.382366	1.366950	44.155621
