crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	61.338058	1177	0.000000
281474976710655.000000	62.048286	1178	0.000000
281474976710655.000000	59.478477	1179	0.000000
281474976710655.000000	59.138710	1180	0.000000
281474976710655.000000	58.974136	1181	0.000000
281474976710655.000000	59.975559	1182	0.000000
281474976710655.000000	60.317043	1183	0.000000
281474976710655.000000	59.739193	1184	0.000000
281474976710655.000000	45.213474	1185	0.000000
281474976710655.000000	93.946327	1186	0.000000
281474976710655.000000	51.025757	1187	0.000000
281474976710655.000000	49.655128	1188	0.000000
281474976710655.000000	60.868813	1189	0.000000
281474976710655.000000	58.194489	1190	0.000000
281474976710655.000000	46.377831	1191	0.000000
281474976710655.000000	38.152767	1192	0.000000
281474976710655.000000	48.276371	1193	0.000000
281474976710655.000000	64.821007	1194	0.000000
281474976710655.000000	60.774471	1195	0.000000
281474976710655.000000	97.711563	1196	0.000000
281474976710655.000000	64.822250	1197	0.000000
281474976710655.000000	46.125927	1198	0.000000
281474976710655.000000	44.974659	1199	0.000000
281474976710655.000000	38.400658	1200	0.000000
281474976710655.000000	58.627708	1201	0.000000
281474976710655.000000	57.841583	1202	0.000000
281474976710655.000000	44.624516	1203	0.000000
281474976710655.000000	28.874784	1204	0.000000
281474976710655.000000	90.136108	1205	0.000000
281474976710655.000000	59.942406	1206	0.000000
281474976710655.000000	59.024220	1207	0.000000
281474976710655.000000	57.637794	1208	0.000000
281474976710655.000000	43.810482	1209	0.000000
281474976710655.000000	45.344097	1210	0.000000
281474976710655.000000	63.424416	1211	0.000000
281474976710655.000000	39.923542	1212	0.000000
281474976710655.000000	38.410110	1213	0.000000
281474976710655.000000	60.123436	1214	0.000000
281474976710655.000000	64.528137	1215	0.000000
281474976710655.000000	45.675484	1216	0.000000
281474976710655.000000	59.311047	1217	0.000000
281474976710655.000000	60.115894	1218	0.000000
281474976710655.000000	48.112289	1219	0.000000
281474976710655.000000	64.005341	1220	0.000000
281474976710655.000000	58.394581	1221	0.000000
281474976710655.000000	62.744724	1222	0.000000
281474976710655.000000	79.051453	1223	0.000000
281474976710655.000000	44.607121	1224	0.000000
281474976710655.000000	56.529469	1225	0.000000
281474976710655.000000	56.568886	1226	0.000000
281474976710655.000000	56.217060	1227	0.000000
281474976710655.000000	44.361870	1228	0.000000
281474976710655.000000	39.275002	1229	0.000000
281474976710655.000000	56.671619	1230	0.000000
281474976710655.000000	61.242073	1231	0.000000
281474976710655.000000	37.702576	1232	0.000000
281474976710655.000000	54.454319	1233	0.000000
281474976710655.000000	37.603584	1234	0.000000
281474976710655.000000	44.155640	1235	0.000000
281474976710655.000000	57.864799	1236	0.000000
281474976710655.000000	57.271046	1237	0.000000
281474976710655.000000	57.897465	1238	0.000000
281474976710655.000000	56.514912	1239	0.000000
281474976710655.000000	118.466423	1240	0.000000
281474976710655.000000	61.677017	1241	0.000000
281474976710655.000000	42.589111	1242	0.000000
281474976710655.000000	55.451683	1243	0.000000
281474976710655.000000	43.028698	1244	0.000000
281474976710655.000000	62.400345	1245	0.000000
281474976710655.000000	57.207962	1246	0.000000
281474976710655.000000	57.237610	1247	0.000000
281474976710655.000000	56.895317	1248	0.000000
281474976710655.000000	55.640308	1249	0.000000
281474976710655.000000	88.452499	1250	0.000000
281474976710655.000000	63.119022	1251	0.000000
281474976710655.000000	37.301514	1252	0.000000
281474976710655.000000	43.496506	1253	0.000000
281474976710655.000000	42.674690	1254	0.000000
281474976710655.000000	56.277576	1255	0.000000
281474976710655.000000	45.983639	1256	0.000000
281474976710655.000000	54.786766	1257	0.000000
281474976710655.000000	46.933289	1258	0.000000
281474976710655.000000	54.832775	1259	0.000000
281474976710655.000000	89.733513	1260	0.000000
281474976710655.000000	45.723732	1261	0.000000
281474976710655.000000	55.742863	1262	0.000000
281474976710655.000000	60.831051	1263	0.000000
281474976710655.000000	58.466915	1264	0.000000
281474976710655.000000	36.444271	1265	0.000000
281474976710655.000000	46.088909	1266	0.000000
281474976710655.000000	54.207218	1267	0.000000
281474976710655.000000	50.175236	1268	0.000000
281474976710655.000000	52.136883	1269	0.000000
281474976710655.000000	88.286385	1270	0.000000
281474976710655.000000	59.393669	1271	0.000000
281474976710655.000000	56.037792	1272	0.000000
281474976710655.000000	56.077785	1273	0.000000
281474976710655.000000	57.404930	1274	0.000000
281474976710655.000000	54.927898	1275	0.000000
281474976710655.000000	53.538937	1276	0.000000
281474976710655.000000	58.158348	1277	0.000000
281474976710655.000000	42.106213	1278	0.000000
281474976710655.000000	57.591953	1279	0.000000
281474976710655.000000	72.907463	1280	0.000000
281474976710655.000000	40.332150	1281	0.000000
281474976710655.000000	45.006145	1282	0.000000
281474976710655.000000	59.320015	1283	0.000000
281474976710655.000000	53.120724	1284	0.000000
281474976710655.000000	54.219910	1285	0.000000
281474976710655.000000	54.197109	1286	0.000000
281474976710655.000000	54.700153	1287	0.000000
281474976710655.000000	59.821434	1288	0.000000
281474976710655.000000	41.098522	1289	0.000000
281474976710655.000000	40.721889	1290	0.000000
281474976710655.000000	43.339977	1291	0.000000
281474976710655.000000	72.021210	1292	0.000000
281474976710655.000000	40.225651	1293	0.000000
281474976710655.000000	52.619274	1294	0.000000
281474976710655.000000	53.672260	1295	0.000000
281474976710655.000000	39.171810	1296	0.000000
281474976710655.000000	54.199638	1297	0.000000
281474976710655.000000	51.264160	1298	0.000000
281474976710655.000000	53.612881	1299	0.000000
281474976710655.000000	52.835514	1300	0.000000
281474976710655.000000	53.967468	1301	0.000000
281474976710655.000000	71.171158	1302	0.000000
281474976710655.000000	53.234100	1303	0.000000
281474976710655.000000	38.411419	1304	0.000000
281474976710655.000000	36.842190	1305	0.000000
281474976710655.000000	39.260014	1306	0.000000
281474976710655.000000	57.191467	1307	0.000000
281474976710655.000000	57.153255	1308	0.000000
281474976710655.000000	53.470299	1309	0.000000
281474976710655.000000	70.393082	1310	0.000000
281474976710655.000000	54.382568	1311	0.000000
281474976710655.000000	56.518574	1312	0.000000
281474976710655.000000	41.972820	1313	0.000000
281474976710655.000000	52.631859	1314	0.000000
281474976710655.000000	58.941967	1315	0.000000
281474976710655.000000	53.486958	1316	0.000000
281474976710655.000000	69.342628	1317	0.000000
281474976710655.000000	58.008091	1318	0.000000
281474976710655.000000	83.209305	1319	0.000000
281474976710655.000000	42.536709	1320	0.000000
281474976710655.000000	42.692577	1321	0.000000
281474976710655.000000	81.950722	1322	0.000000
281474976710655.000000	59.325081	1323	0.000000
281474976710655.000000	52.068207	1324	0.000000
281474976710655.000000	52.027687	1325	0.000000
281474976710655.000000	42.598110	1326	0.000000
281474976710655.000000	43.149628	1327	0.000000
281474976710655.000000	71.613609	1328	0.000000
281474976710655.000000	50.862339	1329	0.000000
281474976710655.000000	39.866745	1330	0.000000
281474976710655.000000	43.284424	1331	0.000000
281474976710655.000000	81.607239	1332	0.000000
281474976710655.000000	39.765881	1333	0.000000
281474976710655.000000	49.168388	1334	0.000000
281474976710655.000000	49.846085	1335	0.000000
281474976710655.000000	51.034275	1336	0.000000
281474976710655.000000	38.423504	1337	0.000000
281474976710655.000000	53.625454	1338	0.000000
281474976710655.000000	49.701859	1339	0.000000
281474976710655.000000	79.523460	1340	0.000000
281474976710655.000000	38.075294	1341	0.000000
281474976710655.000000	49.918236	1342	0.000000
281474976710655.000000	47.565933	1343	0.000000
281474976710655.000000	40.495773	1344	0.000000
281474976710655.000000	56.803459	1345	0.000000
281474976710655.000000	37.569885	1346	0.000000
281474976710655.000000	37.931618	1347	0.000000
281474976710655.000000	42.741684	1348	0.000000
281474976710655.000000	42.643497	1349	0.000000
281474976710655.000000	46.348042	1350	0.000000
281474976710655.000000	48.455437	1351	0.000000
281474976710655.000000	45.220383	1352	0.000000
281474976710655.000000	48.817486	1353	0.000000
281474976710655.000000	48.708111	1354	0.000000
281474976710655.000000	49.553036	1355	0.000000
281474976710655.000000	48.294388	1356	0.000000
281474976710655.000000	47.834469	1357	0.000000
281474976710655.000000	37.026505	1358	0.000000
281474976710655.000000	66.207153	1359	0.000000
281474976710655.000000	64.198471	1360	0.000000
281474976710655.000000	55.443386	1361	0.000000
281474976710655.000000	48.572300	1362	0.000000
281474976710655.000000	49.828991	1363	0.000000
281474976710655.000000	47.616737	1364	0.000000
281474976710655.000000	37.399765	1365	0.000000
281474976710655.000000	36.537624	1366	0.000000
281474976710655.000000	53.992863	1367	0.000000
281474976710655.000000	64.097145	1368	0.000000
281474976710655.000000	47.623676	1369	0.000000
281474976710655.000000	64.227417	1370	0.000000
281474976710655.000000	46.625675	1371	0.000000
281474976710655.000000	39.961433	1372	0.000000
281474976710655.000000	44.805424	1373	0.000000
281474976710655.000000	62.249878	1374	0.000000
281474976710655.000000	47.900959	1375	0.000000
281474976710655.000000	43.131397	1376	0.000000
281474976710655.000000	46.199341	1377	0.000000
281474976710655.000000	47.193344	1378	0.000000
281474976710655.000000	65.088463	1379	0.000000
281474976710655.000000	38.901745	1380	0.000000
281474976710655.000000	41.612663	1381	0.000000
281474976710655.000000	47.852226	1382	0.000000
281474976710655.000000	38.099064	1383	0.000000
281474976710655.000000	35.398724	1384	0.000000
281474976710655.000000	53.336769	1385	0.000000
281474976710655.000000	63.306324	1386	0.000000
281474976710655.000000	53.570633	1387	0.000000
281474976710655.000000	38.605412	1388	0.000000
281474976710655.000000	40.891609	1389	0.000000
281474976710655.000000	38.261829	1390	0.000000
281474976710655.000000	35.790836	1391	0.000000
281474976710655.000000	38.136421	1392	0.000000
281474976710655.000000	45.542191	1393	0.000000
281474976710655.000000	34.463165	1394	0.000000
281474976710655.000000	37.514206	1395	0.000000
281474976710655.000000	48.265270	1396	0.000000
281474976710655.000000	46.320053	1397	0.000000
281474976710655.000000	71.210945	1398	0.000000
281474976710655.000000	62.732624	1399	0.000000
281474976710655.000000	40.131519	1400	0.000000
281474976710655.000000	45.016525	1401	0.000000
281474976710655.000000	43.828571	1402	0.000000
281474976710655.000000	44.443237	1403	0.000000
281474976710655.000000	46.412903	1404	0.000000
281474976710655.000000	62.834270	1405	0.000000
281474976710655.000000	44.993431	1406	0.000000
281474976710655.000000	35.202209	1407	0.000000
281474976710655.000000	48.736256	1408	0.000000
281474976710655.000000	36.707207	1409	0.000000
281474976710655.000000	35.552456	1410	0.000000
281474976710655.000000	36.107883	1411	0.000000
281474976710655.000000	38.471588	1412	0.000000
281474976710655.000000	41.223289	1413	0.000000
281474976710655.000000	38.921310	1414	0.000000
281474976710655.000000	38.076206	1415	0.000000
281474976710655.000000	45.149261	1416	0.000000
281474976710655.000000	34.839561	1417	0.000000
281474976710655.000000	37.818165	1418	0.000000
281474976710655.000000	39.456318	1419	0.000000
281474976710655.000000	38.772495	1420	0.000000
281474976710655.000000	41.259613	1421	0.000000
281474976710655.000000	34.845356	1422	0.000000
281474976710655.000000	43.917793	1423	0.000000
281474976710655.000000	47.823101	1424	0.000000
281474976710655.000000	43.496433	1425	0.000000
281474976710655.000000	45.908340	1426	0.000000
281474976710655.000000	43.679749	1427	0.000000
281474976710655.000000	46.259140	1428	0.000000
281474976710655.000000	49.013641	1429	0.000000
281474976710655.000000	44.939846	1430	0.000000
281474976710655.000000	49.021610	1431	0.000000
281474976710655.000000	44.059589	1432	0.000000
281474976710655.000000	47.020264	1433	0.000000
281474976710655.000000	59.358822	1434	0.000000
281474976710655.000000	43.539951	1435	0.000000
281474976710655.000000	45.589973	1436	0.000000
281474976710655.000000	34.202114	1437	0.000000
281474976710655.000000	44.702019	1438	0.000000
281474976710655.000000	49.712486	1439	0.000000
281474976710655.000000	53.324226	1440	0.000000
281474976710655.000000	43.876030	1441	0.000000
281474976710655.000000	36.529549	1442	0.000000
281474976710655.000000	41.658772	1443	0.000000
281474976710655.000000	36.546143	1444	0.000000
281474976710655.000000	39.765003	1445	0.000000
281474976710655.000000	37.299286	1446	0.000000
281474976710655.000000	42.808308	1447	0.000000
281474976710655.000000	52.611286	1448	0.000000
281474976710655.000000	53.189819	1449	0.000000
281474976710655.000000	41.768211	1450	0.000000
281474976710655.000000	57.521931	1451	0.000000
281474976710655.000000	56.427841	1452	0.000000
281474976710655.000000	51.674698	1453	0.000000
281474976710655.000000	41.315147	1454	0.000000
281474976710655.000000	35.634205	1455	0.000000
281474976710655.000000	41.232388	1456	0.000000
281474976710655.000000	43.649364	1457	0.000000
281474976710655.000000	37.279953	1458	0.000000
281474976710655.000000	53.382736	1459	0.000000
281474976710655.000000	53.755550	1460	0.000000
281474976710655.000000	43.613991	1461	0.000000
281474976710655.000000	40.848732	1462	0.000000
281474976710655.000000	41.921017	1463	0.000000
281474976710655.000000	44.206352	1464	0.000000
281474976710655.000000	31.812708	1465	0.000000
281474976710655.000000	37.096546	1466	0.000000
281474976710655.000000	35.181545	1467	0.000000
281474976710655.000000	38.655869	1468	0.000000
281474976710655.000000	47.149944	1469	0.000000
281474976710655.000000	55.677547	1470	0.000000
281474976710655.000000	35.150841	1471	0.000000
281474976710655.000000	37.669693	1472	0.000000
